44.224.22.196 - - [08/Feb/2020:12:45:42 +0000] "-" 400 1879
134.175.238.122 - - [08/Feb/2020:12:55:17 +0000] "GET /%73%65%65%79%6F%6E/%68%74%6D%6C%6F%66%66%69%63%65%73%65%72%76%6C%65%74 HTTP/1.1" 404 783
134.175.238.122 - - [08/Feb/2020:12:55:17 +0000] "GET /secure/ContactAdministrators!default.jspa HTTP/1.1" 404 754
134.175.238.122 - - [08/Feb/2020:12:55:18 +0000] "GET /weaver/bsh.servlet.BshServlet HTTP/1.1" 404 742
134.175.238.122 - - [08/Feb/2020:12:55:18 +0000] "GET /solr/ HTTP/1.1" 404 718
134.175.238.122 - - [08/Feb/2020:12:55:18 +0000] "GET /manager/html HTTP/1.1" 401 2499
134.175.238.122 - - [08/Feb/2020:12:55:21 +0000] "GET /manager/html HTTP/1.1" 401 2499
134.175.238.122 - admin [08/Feb/2020:12:55:21 +0000] "GET /manager/html HTTP/1.1" 200 21313
222.186.3.21 - - [08/Feb/2020:15:34:11 +0000] "GET /manager/html HTTP/1.1" 401 2499
122.14.225.209 - - [08/Feb/2020:15:36:06 +0000] "GET /%73%65%65%79%6F%6E/%68%74%6D%6C%6F%66%66%69%63%65%73%65%72%76%6C%65%74 HTTP/1.1" 404 783
122.14.225.209 - - [08/Feb/2020:15:36:07 +0000] "GET /secure/ContactAdministrators!default.jspa HTTP/1.1" 404 754
122.14.225.209 - - [08/Feb/2020:15:36:09 +0000] "GET /weaver/bsh.servlet.BshServlet HTTP/1.1" 404 742
122.14.225.209 - - [08/Feb/2020:15:36:10 +0000] "GET /solr/ HTTP/1.1" 404 718
122.14.225.209 - - [08/Feb/2020:15:36:10 +0000] "GET /manager/html HTTP/1.1" 401 2499
122.14.225.209 - - [08/Feb/2020:15:36:12 +0000] "GET /manager/html HTTP/1.1" 401 2499
122.14.225.209 - admin [08/Feb/2020:15:36:13 +0000] "GET /manager/html HTTP/1.1" 200 21313
77.52.203.106 - - [08/Feb/2020:15:39:43 +0000] "GET / HTTP/1.1" 200 11215
195.72.204.254 - - [08/Feb/2020:15:46:09 +0000] "GET / HTTP/1.1" 400 762
